  n, heap_cmp, heap_swaps, heap_time
  0,        0,          0,         0
  1,        0,          0,         0
  2,        0,          1,         0
  3,        1,          2,         0
  4,        4,          6,         0
  5,        8,          9,         0
  6,       12,         11,         0
  7,       16,         12,         0
  8,       22,         17,         0
  9,       29,         20,         0
 10,       34,         24,       500
 11,       40,         28,         0
 12,       46,         33,         0
 13,       53,         38,         0
 14,       59,         44,         0
 15,       66,         48,         0
 16,       74,         55,         0
 17,       84,         60,         0
 18,       92,         65,       501
 19,      102,         71,         0
 20,      110,         76,         0
 21,      120,         81,         0
 22,      128,         88,         0
 23,      138,         93,         0
 24,      146,         97,         0
 25,      156,        102,         0
 26,      164,        110,         0
 27,      174,        115,       500
 28,      182,        121,         0
 29,      191,        125,         0
 30,      199,        132,         0
 31,      209,        137,       499
 32,      219,        142,         0
 33,      231,        149,         0
 34,      241,        156,       501
 35,      253,        162,         0
 36,      263,        169,       500
 37,      275,        175,         0
 38,      286,        182,         0
 39,      295,        185,         0
 40,      308,        194,         0
 41,      320,        201,       499
 42,      327,        206,         0
 43,      341,        212,       500
 44,      351,        218,         0
 45,      363,        224,       500
 46,      373,        231,         0
 47,      385,        238,         0
 48,      394,        243,       500
 49,      406,        250,         0
 50,      416,        256,       499
 51,      429,        260,         0
 52,      439,        270,       501
 53,      450,        276,       500
 54,      460,        282,         0
 55,      473,        286,       501
 56,      483,        295,       499
 57,      495,        303,         0
 58,      505,        306,       500
 59,      517,        314,       501
 60,      527,        322,       499
 61,      539,        326,         0
 62,      549,        335,       500
 63,      561,        341,       500
 64,      572,        350,       500
 65,      586,        357,         0
 66,      600,        364,         0
 67,      614,        371,       500
 68,      627,        381,       501
 69,      642,        388,       499
 70,      654,        395,       499
 71,      668,        402,       500
 72,      678,        411,       499
 73,      694,        417,       500
 74,      707,        425,       501
 75,      719,        434,       499
 76,      730,        441,       601
 77,      747,        448,       399
 78,      757,        458,       500
 79,      772,        465,       500
 80,      786,        474,       500
 81,      800,        479,       500
 82,      811,        490,       500
 83,      825,        495,       500
 84,      838,        506,      1000
 85,      853,        513,       500
 86,      865,        519,       500
 87,      881,        526,       500
 88,      889,        533,       500
 89,      903,        538,      1000
 90,      916,        548,       500
 91,      935,        557,       500
 92,      945,        564,       500
 93,      962,        570,      1000
 94,      973,        581,       500
 95,      988,        588,       500
 96,     1000,        593,      1000
 97,     1013,        599,       499
 98,     1027,        610,      1001
 99,     1041,        616,       500
100,     1055,        624,      1000
